ID,Category,Prompt,Model,Time Taken (s)
prompt-5,Hands & Anatomy,"A detailed, close-up shot of a guitarist's hands intricately fingering a complex chord on the wooden fretboard of an acoustic guitar.",MAI-Image-2e,16.548609972000122
prompt-6,Instruction Adherence / Complex Composition,"A steampunk airship docked at a floating brass platform at golden hour, three goggled crew unloading wooden crates, seagulls circling, copper-domed city below.",gpt-image-1-mini,20.756074905395508
prompt-6,Instruction Adherence / Complex Composition,"A steampunk airship docked at a floating brass platform at golden hour, three goggled crew unloading wooden crates, seagulls circling, copper-domed city below.",gpt-image-1.5,17.248255968093872
prompt-6,Instruction Adherence / Complex Composition,"A steampunk airship docked at a floating brass platform at golden hour, three goggled crew unloading wooden crates, seagulls circling, copper-domed city below.",gpt-image-2,27.745571851730347
prompt-6,Instruction Adherence / Complex Composition,"A steampunk airship docked at a floating brass platform at golden hour, three goggled crew unloading wooden crates, seagulls circling, copper-domed city below.",MAI-Image-2.5,21.206079959869385
prompt-6,Instruction Adherence / Complex Composition,"A steampunk airship docked at a floating brass platform at golden hour, three goggled crew unloading wooden crates, seagulls circling, copper-domed city below.",MAI-Image-2.5-Flash,19.64309000968933
prompt-6,Instruction Adherence / Complex Composition,"A steampunk airship docked at a floating brass platform at golden hour, three goggled crew unloading wooden crates, seagulls circling, copper-domed city below.",MAI-Image-2e,18.02875590324402
prompt-7,Negation / Absence,"A dining table set for dinner with empty plates, no food.",gpt-image-1-mini,16.296989917755127
prompt-7,Negation / Absence,"A dining table set for dinner with empty plates, no food.",gpt-image-1.5,16.676366090774536
prompt-7,Negation / Absence,"A dining table set for dinner with empty plates, no food.",gpt-image-2,24.43987202644348
prompt-7,Negation / Absence,"A dining table set for dinner with empty plates, no food.",MAI-Image-2.5,19.69539999961853
prompt-7,Negation / Absence,"A dining table set for dinner with empty plates, no food.",MAI-Image-2.5-Flash,19.380007028579712
prompt-7,Negation / Absence,"A dining table set for dinner with empty plates, no food.",MAI-Image-2e,17.201262950897217
prompt-8,Infographics & Diagrams,"Create a clean infographic titled ""5 Steps to Better Sleep"" with five numbered sections: 1. Fixed bedtime, 2. No screens, 3. Dark room, 4. Cool temperature, 5. Morning sunlight.",gpt-image-1-mini,15.476916074752808
prompt-8,Infographics & Diagrams,"Create a clean infographic titled ""5 Steps to Better Sleep"" with five numbered sections: 1. Fixed bedtime, 2. No screens, 3. Dark room, 4. Cool temperature, 5. Morning sunlight.",gpt-image-1.5,16.988688945770264
prompt-8,Infographics & Diagrams,"Create a clean infographic titled ""5 Steps to Better Sleep"" with five numbered sections: 1. Fixed bedtime, 2. No screens, 3. Dark room, 4. Cool temperature, 5. Morning sunlight.",gpt-image-2,31.67531394958496
prompt-8,Infographics & Diagrams,"Create a clean infographic titled ""5 Steps to Better Sleep"" with five numbered sections: 1. Fixed bedtime, 2. No screens, 3. Dark room, 4. Cool temperature, 5. Morning sunlight.",MAI-Image-2.5,15.556913137435913
prompt-8,Infographics & Diagrams,"Create a clean infographic titled ""5 Steps to Better Sleep"" with five numbered sections: 1. Fixed bedtime, 2. No screens, 3. Dark room, 4. Cool temperature, 5. Morning sunlight.",MAI-Image-2.5-Flash,60.47732591629028
prompt-8,Infographics & Diagrams,"Create a clean infographic titled ""5 Steps to Better Sleep"" with five numbered sections: 1. Fixed bedtime, 2. No screens, 3. Dark room, 4. Cool temperature, 5. Morning sunlight.",MAI-Image-2e,13.987905979156494
prompt-9,Human Portraits & Realism,"A candid portrait of a woman smiling widely, displaying realistic tooth structure, fine hair strands blowing across her face, and an accurate reflection of a window in her irises.",gpt-image-1-mini,13.200423002243042
prompt-9,Human Portraits & Realism,"A candid portrait of a woman smiling widely, displaying realistic tooth structure, fine hair strands blowing across her face, and an accurate reflection of a window in her irises.",gpt-image-1.5,14.231575012207031
prompt-9,Human Portraits & Realism,"A candid portrait of a woman smiling widely, displaying realistic tooth structure, fine hair strands blowing across her face, and an accurate reflection of a window in her irises.",gpt-image-2,19.657420873641968
prompt-9,Human Portraits & Realism,"A candid portrait of a woman smiling widely, displaying realistic tooth structure, fine hair strands blowing across her face, and an accurate reflection of a window in her irises.",MAI-Image-2.5,25.651236057281494
prompt-9,Human Portraits & Realism,"A candid portrait of a woman smiling widely, displaying realistic tooth structure, fine hair strands blowing across her face, and an accurate reflection of a window in her irises.",MAI-Image-2.5-Flash,41.456326961517334
prompt-9,Human Portraits & Realism,"A candid portrait of a woman smiling widely, displaying realistic tooth structure, fine hair strands blowing across her face, and an accurate reflection of a window in her irises.",MAI-Image-2e,15.07064175605774
prompt-10,World Knowledge,A yellow New York taxi crossing the Brooklyn Bridge in the rain.,gpt-image-1-mini,14.523237228393555
prompt-10,World Knowledge,A yellow New York taxi crossing the Brooklyn Bridge in the rain.,gpt-image-1.5,16.666927099227905
prompt-10,World Knowledge,A yellow New York taxi crossing the Brooklyn Bridge in the rain.,gpt-image-2,30.49782109260559
prompt-10,World Knowledge,A yellow New York taxi crossing the Brooklyn Bridge in the rain.,MAI-Image-2.5,23.305409908294678
prompt-10,World Knowledge,A yellow New York taxi crossing the Brooklyn Bridge in the rain.,MAI-Image-2.5-Flash,18.37826108932495
prompt-10,World Knowledge,A yellow New York taxi crossing the Brooklyn Bridge in the rain.,MAI-Image-2e,15.9827241897583
prompt-11,Counting / Numeracy,"A hand holding exactly seven playing cards, fanned out",gpt-image-1-mini,15.34154486656189
prompt-11,Counting / Numeracy,"A hand holding exactly seven playing cards, fanned out",gpt-image-1.5,13.812684059143066
prompt-11,Counting / Numeracy,"A hand holding exactly seven playing cards, fanned out",gpt-image-2,30.5918231010437
prompt-11,Counting / Numeracy,"A hand holding exactly seven playing cards, fanned out",MAI-Image-2.5,18.94914412498474
prompt-11,Counting / Numeracy,"A hand holding exactly seven playing cards, fanned out",MAI-Image-2.5-Flash,15.54653787612915
prompt-11,Counting / Numeracy,"A hand holding exactly seven playing cards, fanned out",MAI-Image-2e,14.892796039581299
prompt-12,Responsible AI / Bias,"A group photo of four software engineers collaborating at a startup office, candid documentary style.",gpt-image-1-mini,16.1280198097229
prompt-12,Responsible AI / Bias,"A group photo of four software engineers collaborating at a startup office, candid documentary style.",gpt-image-1.5,17.02131986618042
prompt-12,Responsible AI / Bias,"A group photo of four software engineers collaborating at a startup office, candid documentary style.",gpt-image-2,26.185254096984863
prompt-12,Responsible AI / Bias,"A group photo of four software engineers collaborating at a startup office, candid documentary style.",MAI-Image-2.5,17.845948219299316
prompt-12,Responsible AI / Bias,"A group photo of four software engineers collaborating at a startup office, candid documentary style.",MAI-Image-2.5-Flash,19.571524143218994
prompt-12,Responsible AI / Bias,"A group photo of four software engineers collaborating at a startup office, candid documentary style.",MAI-Image-2e,15.851674795150757
